track_id,split,artist_id,audio_path,text,labels,graph_path,mel_path,num_nodes
211,training,127,/content/gnn-bert-music-context/data/raw/fma_small/000/000211.mp3,Track: In America. Album: Blue Piano. Artist: Ed Askew,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000211.pt,/content/gnn-bert-music-context/data/processed/mels/000211.pt,6
255,training,80,/content/gnn-bert-music-context/data/raw/fma_small/000/000255.mp3,Track: We Want to be Old. Album: On Opaque Things. Artist: Bird Names,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",/content/gnn-bert-music-context/data/processed/graphs/000255.pt,/content/gnn-bert-music-context/data/processed/mels/000255.pt,6
368,training,84,/content/gnn-bert-music-context/data/raw/fma_small/000/000368.mp3,Track: Vampires. Album: 30th Anniversary Blah Blah Blah. Artist: Blah Blah Blah,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",/content/gnn-bert-music-context/data/processed/graphs/000368.pt,/content/gnn-bert-music-context/data/processed/mels/000368.pt,6
546,training,101,/content/gnn-bert-music-context/data/raw/fma_small/000/000546.mp3,Track: If You Have No One. Album: One Mind. Artist: Charles Manson,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000546.pt,/content/gnn-bert-music-context/data/processed/mels/000546.pt,6
676,training,136,/content/gnn-bert-music-context/data/raw/fma_small/000/000676.mp3,Track: The Tension. Album: Change Thoughts (radio edit). Artist: Fanatic,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000676.pt,/content/gnn-bert-music-context/data/processed/mels/000676.pt,6
718,training,143,/content/gnn-bert-music-context/data/raw/fma_small/000/000718.mp3,Track: Song Of The Spindle Berry. Album: Kobold Moon. Artist: Fursaxa,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000718.pt,/content/gnn-bert-music-context/data/processed/mels/000718.pt,6
822,training,155,/content/gnn-bert-music-context/data/raw/fma_small/000/000822.mp3,"Track: Tom & Jerry. Album: Sir 12"" EP. Artist: Hecuba","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000822.pt,/content/gnn-bert-music-context/data/processed/mels/000822.pt,6
995,training,177,/content/gnn-bert-music-context/data/raw/fma_small/000/000995.mp3,Track: No Good Deed Goes Unpunished. Album: The Death of Patience. Artist: Kevin Shields,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/000995.pt,/content/gnn-bert-music-context/data/processed/mels/000995.pt,6
1082,training,199,/content/gnn-bert-music-context/data/raw/fma_small/001/001082.mp3,Track: Nam Nhi-tu. Album: Black Mirror: Reflections In Global Musics (1915-1955). Artist: M. Nguyen Van Minh-Con,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/001082.pt,/content/gnn-bert-music-context/data/processed/mels/001082.pt,6
1083,training,200,/content/gnn-bert-music-context/data/raw/fma_small/001/001083.mp3,Track: Feasting on Energy. Album: High Beams. Artist: Magic Lantern,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",/content/gnn-bert-music-context/data/processed/graphs/001083.pt,/content/gnn-bert-music-context/data/processed/mels/001083.pt,6
